Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,6.8p,
"C10, C11, C12, C13, C15, C16, C18, C19, C20, C27, C3, C4, C5, C6, C9",0603,15,100n,
"C14, C17, C23, C26, C28, C29, C7, C8",0603,8,1u,
"C21, C22",1206,2,22u,
"C24, C25",0603,2,2.2u,
D1,SOT-23W,1,PESD2USB3UV,
"D10, D11, D12, D9",0603,4,LED,
D13,D_SOD-123F,1,D_Schottky,
"D2, D5",D_SOD-323_HandSoldering,2,D_Zener,
"D3, D4, D6",D_SMA,3,D_Schottky,
"D7, D8",LED_RGB_5050-6,2,LED_RGB,
F1,Fuseholder_Blade_Mini_Keystone_3568,1,Fuse,
F2,1812,1,Polyfuse,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J10, J3, J7",PinHeader_1x01_P2.54mm_Vertical,3,Conn_01x01,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J4,PinSocket_1x40_P2.54mm_Horizontal,1,Conn_01x40_Socket,
"J5, J6",Molex_Micro-Fit_3.0_43650-0515_1x05_P3.00mm_Vertical,2,Conn_01x05_Pin,
J8,FTSH-105-XX-YYY-DV-K-A,1,FTSH-105-01-L-DV-K-A,
J9,Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,1,Conn_01x02_Pin,
L1,0603,1,L_Ferrite,
L2,L_Bourns-SRU1028_10.0x10.0mm,1,SRU1063A-4R7Y,
"R1, R2, R3, R4, R5, R9",0603,6,5.1k,
"R10, R13, R14, R8",0603,4,100k,
R11,0603,1,17.4k,
R12,1206,1,100m,
"R15, R18, R24, R6, R7",0603,5,120,
"R16, R17, R19, R20",0603,4,50,
"R21, R23",0603,2,470,
R22,0603,1,2.2k,
"S1, S2, S3",RKB2SJM250SMTRLFS,3,RKB2SJM250SMTR_LFS,
"S4, S5",SLW8645872ARAND,2,SLW-864587-2A-RA-N-D,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32G474RCTx,
"U2, U3",SOIC-8_3.9x4.9mm_P1.27mm,2,TJA1051T-3,
U4,SOT95P280X110-6N,1,LMR51625YDDCR,
U5,SOT95P280X145-5N,1,TLV74033PDBVR,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
