Designator,Mid X,Mid Y,Rotation,Layer
C1,183.293369,-86.932194,225.0,top
C10,163.322,-77.978,135.0,top
C11,165.354,-69.596,270.0,top
C12,177.927002,-69.596002,270.0,top
C13,156.103,-89.943,270.0,top
C14,154.452,-89.943,270.0,top
C15,144.419,-87.276,90.0,top
C16,190.516001,-78.093999,90.0,top
C17,192.167002,-78.093999,90.0,top
C18,199.136,-81.534,180.0,top
C19,164.084,-96.139,225.0,top
C2,178.982849,-82.621671,45.0,top
C20,103.124,-72.644,0.0,top
C21,119.48,-70.866,90.0,top
C22,121.92,-70.866,90.0,top
C23,123.952,-71.4745,90.0,top
C24,100.514,-78.232,0.0,top
C25,100.512,-80.01,0.0,top
C26,140.462,-80.518,90.0,top
C27,162.941,-94.996,225.0,top
C28,150.876,-77.216,0.0,top
C29,149.098,-83.406,180.0,top
C3,171.259828,-100.402576,225.0,top
C4,163.71641,-89.985482,135.0,top
C5,174.13351,-82.26246,45.0,top
C6,181.676927,-92.859163,315.0,top
C7,167.259,-83.566,45.0,top
C8,164.719,-86.106,45.0,top
C9,165.862,-87.249,45.0,top
D1,139.446,-76.454,90.0,top
D10,106.68,-66.04,90.0,top
D11,116.84,-66.04,90.0,top
D12,127.0,-66.04,90.0,top
D13,97.282,-91.694,270.0,top
D2,99.822,-91.673999,270.0,top
D3,125.095,-75.565,180.0,top
D4,131.445,-73.564999,90.0,top
D5,144.018,-83.312,270.0,top
D6,125.095,-80.01,180.0,top
D7,199.39,-68.58,0.0,top
D8,152.4,-99.06,0.0,top
D9,169.926,-78.994,0.0,top
F1,106.8,-98.855,180.0,top
F2,133.670001,-80.01,0.0,top
J1,185.67753538789307,-89.40446461210692,315.0,top
J10,97.79,-105.41,0.0,top
J2,139.7,-67.564,180.0,top
J3,143.891,-92.329,180.0,top
J4,152.4,-110.49,90.0,top
J5,118.5875,-92.71,90.0,top
J6,136.3675,-92.71,90.0,top
J7,203.962,-74.168,0.0,top
J8,156.21,-68.58,180.0,top
J9,206.9475,-81.28,270.0,top
L1,164.719,-83.693,225.0,top
L2,111.506,-73.66,0.0,top
R1,164.592,-76.708,135.0,top
R10,99.568,-71.12,180.0,top
R11,99.568,-72.644,180.0,top
R12,97.536,-84.836,90.0,top
R13,146.05,-79.756,270.0,top
R14,146.05,-83.312,270.0,top
R15,193.777999,-66.822998,0.0,top
R16,193.777999,-68.600999,0.0,top
R17,193.777999,-70.379,0.0,top
R18,146.788,-97.302998,0.0,top
R19,146.788,-99.080999,0.0,top
R2,163.576002,-69.596,90.0,top
R20,146.788,-100.859001,0.0,top
R21,169.926,-80.772,0.0,top
R22,104.902,-66.04,90.0,top
R23,115.062,-66.04,90.0,top
R24,125.222,-66.04,90.0,top
R3,142.24,-73.66,180.0,top
R4,137.541,-73.66,0.0,top
R5,176.276002,-69.596002,90.0,top
R6,115.57,-90.678,270.0,top
R7,202.692,-88.9,270.0,top
R8,100.584,-88.392,180.0,top
R9,99.822,-85.598,90.0,top
S1,161.036,-82.296,225.0,top
S2,170.18,-68.58,0.0,top
S3,182.88,-68.58,0.0,top
S4,111.252,-87.916,270.0,top
S5,198.612001,-88.899999,270.0,top
U1,172.72,-91.44,135.0,top
U2,149.479,-89.916,90.0,top
U3,197.104,-77.978,270.0,top
U4,100.838,-75.438,0.0,top
U5,149.098,-80.264,270.0,top
Y1,181.138107,-84.776932,135.0,top
